
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:23  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 1.88
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:24  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 3.07
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:24  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 5.01
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:30  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.1
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:30  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.16
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:31  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.27
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:32  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.43
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:33  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.71
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:34  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 1.15
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:35  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 1.88
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:35  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 3.07
Error in svd(X) : a dimension is zero

